Source Target Weight
夏侯惇 孔明 45 较少相关
夏侯惇 孙权 5 较少相关
夏侯惇 鲁肃 2 较少相关
夏侯惇 张昭 5 较少相关
夏侯惇 周瑜 5 较少相关
夏侯惇 黄忠 10 较少相关
夏侯惇 魏延 11 较少相关
夏侯惇 法正 1 较少相关
夏侯惇 马超 16 较少相关
马腾 袁绍 11 较少相关
马腾 曹操 169 相关
马腾 董卓 2 较少相关
马腾 马超 58 一般相关
马腾 刘备 25 较少相关
马腾 郭嘉 2 较少相关
马腾 周瑜 15 较少相关
马腾 孔明 10 较少相关
马腾 鲁肃 8 较少相关
马腾 孙权 15 较少相关
马腾 张昭 3 较少相关
马腾 黄盖 1 较少相关
马腾 吕布 4 较少相关
马腾 刘表 2 较少相关
马腾 徐庶 18 较少相关
马腾 庞统 7 较少相关
马腾 诸葛亮 7 较少相关
马腾 袁术 3 较少相关
马腾 许褚 30 较少相关
马腾 徐晃 16 较少相关
马腾 姜维 1 较少相关
黄盖 袁绍 16 较少相关
黄盖 刘备 6 较少相关
黄盖 曹操 132 相关
黄盖 袁术 15 较少相关
黄盖 关羽 1 较少相关
黄盖 张飞 2 较少相关
黄盖 董卓 8 较少相关
黄盖 吕布 2 较少相关
黄盖 刘表 23 较少相关
黄盖 周瑜 105 相关
黄盖 孔明 61 一般相关
黄盖 鲁肃 26 较少相关
黄盖 孙权 22 较少相关
黄盖 张昭 3 较少相关
黄盖 马腾 1 较少相关
黄盖 吕蒙 19 较少相关
黄盖 陆逊 10 较少相关
黄盖 庞统 4 较少相关
黄盖 张辽 30 较少相关
黄盖 徐晃 12 较少相关
黄盖 诸葛亮 8 较少相关
黄盖 赵云 10 较少相关
黄盖 黄忠 4 较少相关
黄盖 魏延 4 较少相关
刘表 袁绍 80 一般相关
刘表 董卓 9 较少相关
刘表 黄盖 23 较少相关
刘表 袁术 34 较少相关
刘表 曹操 215 相关
刘表 吕布 36 较少相关
刘表 刘备 53 一般相关
刘表 夏侯惇 24 较少相关
刘表 典韦 31 较少相关
刘表 许褚 9 较少相关
刘表 郭嘉 14 较少相关
刘表 张辽 5 较少相关
刘表 刘璋 5 较少相关
刘表 徐晃 6 较少相关
刘表 张飞 7 较少相关
刘表 赵云 20 较少相关
刘表 周瑜 12 较少相关
刘表 孙权 39 较少相关
刘表 鲁肃 12 较少相关
刘表 庞统 7 较少相关
刘表 孔明 51 一般相关
刘表 张昭 18 较少相关
刘表 吕蒙 4 较少相关
刘表 司马懿 2 较少相关
刘表 诸葛亮 14 较少相关
刘表 徐庶 2 较少相关
刘表 马腾 2 较少相关
刘表 黄忠 6 较少相关
刘表 魏延 2 较少相关
刘表 法正 2 较少相关
刘表 姜维 4 较少相关
赵云 袁绍 50 一般相关
赵云 董卓 2 较少相关
赵云 张飞 143 相关
赵云 刘表 20 较少相关
赵云 曹操 173 相关
赵云 刘备 73 一般相关
赵云 夏侯惇 54 一般相关
赵云 张辽 10 较少相关
赵云 徐晃 106 相关
赵云 许褚 13 较少相关
赵云 吕布 2 较少相关
赵云 孙权 28 较少相关
赵云 庞统 18 较少相关
赵云 孔明 297 很相关
赵云 诸葛亮 62 一般相关
赵云 鲁肃 6 较少相关
赵云 张昭 6 较少相关
赵云 周瑜 62 一般相关
赵云 黄盖 10 较少相关
赵云 吕蒙 4 较少相关
赵云 陆逊 9 较少相关
赵云 黄忠 137 相关
赵云 魏延 119 相关
赵云 刘璋 19 较少相关
赵云 关羽 7 较少相关
赵云 法正 12 较少相关
赵云 廖化 3 较少相关
赵云 马超 32 较少相关
赵云 李严 2 较少相关
赵云 马谡 5 较少相关
赵云 姜维 22 较少相关
赵云 司马懿 16 较少相关
马超 马腾 58 一般相关
马超 诸葛亮 6 较少相关
马超 庞统 2 较少相关
马超 曹操 349 很相关
马超 周瑜 2 较少相关
马超 孙权 13 较少相关
马超 刘备 37 较少相关
马超 张昭 3 较少相关
马超 鲁肃 6 较少相关
马超 孔明 101 相关
马超 徐晃 67 一般相关
马超 许褚 154 相关
马超 典韦 18 较少相关
马超 刘璋 122 相关
马超 吕布 1 较少相关
马超 李严 9 较少相关
马超 张飞 455 密切相关
马超 魏延 108 相关
马超 赵云 32 较少相关
马超 黄忠 10 较少相关
马超 法正 4 较少相关
马超 廖化 1 较少相关
马超 马谡 1 较少相关
马超 夏侯惇 16 较少相关
马超 关羽 1 较少相关
马超 董卓 1 较少相关
马超 张辽 2 较少相关
马超 陆逊 1 较少相关
郭嘉 曹操 66 一般相关
郭嘉 袁绍 23 较少相关
郭嘉 刘备 18 较少相关
郭嘉 董卓 1 较少相关
郭嘉 吕布 20 较少相关
郭嘉 袁术 11 较少相关
郭嘉 徐晃 6 较少相关
郭嘉 夏侯惇 17 较少相关
郭嘉 许褚 11 较少相关
郭嘉 典韦 1 较少相关
郭嘉 刘表 14 较少相关
郭嘉 张辽 13 较少相关
郭嘉 张飞 2 较少相关
郭嘉 马腾 2 较少相关
郭嘉 孙权 1 较少相关
典韦 曹操 140 相关
典韦 袁绍 3 较少相关
典韦 夏侯惇 38 较少相关
典韦 吕布 66 一般相关
典韦 张辽 10 较少相关
典韦 许褚 42 较少相关
典韦 袁术 12 较少相关
典韦 徐晃 6 较少相关
典韦 郭嘉 1 较少相关
典韦 刘表 31 较少相关
典韦 刘备 1 较少相关
典韦 马超 18 较少相关
张辽 曹操 267 很相关
张辽 吕布 93 一般相关
张辽 夏侯惇 49 较少相关
张辽 典韦 10 较少相关
张辽 许褚 54 一般相关
张辽 袁术 8 较少相关
张辽 刘备 22 较少相关
张辽 张飞 55 一般相关
张辽 袁绍 64 一般相关
张辽 刘表 5 较少相关
张辽 郭嘉 13 较少相关
张辽 徐晃 87 一般相关
张辽 董卓 5 较少相关
张辽 关羽 1 较少相关
张辽 赵云 10 较少相关
张辽 诸葛亮 16 较少相关
张辽 孙权 256 很相关
张辽 孔明 16 较少相关
张辽 鲁肃 6 较少相关
张辽 周瑜 13 较少相关
张辽 黄盖 30 较少相关
张辽 吕蒙 73 一般相关
张辽 陆逊 10 较少相关
张辽 张昭 9 较少相关
张辽 司马懿 1 较少相关
张辽 马超 2 较少相关
张辽 姜维 1 较少相关
许褚 夏侯惇 104 相关
许褚 典韦 42 较少相关
许褚 曹操 311 很相关
许褚 吕布 78 一般相关
许褚 张辽 54 一般相关
许褚 袁术 27 较少相关
许褚 徐晃 74 一般相关
许褚 郭嘉 11 较少相关
许褚 刘备 30 较少相关
许褚 张飞 75 一般相关
许褚 刘表 9 较少相关
许褚 袁绍 43 较少相关
许褚 刘璋 2 较少相关
许褚 赵云 13 较少相关
许褚 诸葛亮 9 较少相关
许褚 孙权 13 较少相关
许褚 孔明 20 较少相关
许褚 徐庶 4 较少相关
许褚 周瑜 4 较少相关
许褚 董卓 3 较少相关
许褚 马腾 30 较少相关
许褚 马超 154 相关
许褚 黄忠 5 较少相关
徐晃 曹操 248 相关
徐晃 夏侯惇 28 较少相关
徐晃 许褚 74 一般相关
徐晃 袁术 9 较少相关
徐晃 郭嘉 6 较少相关
徐晃 典韦 6 较少相关
徐晃 吕布 21 较少相关
徐晃 张辽 87 一般相关
徐晃 刘表 6 较少相关
徐晃 张飞 13 较少相关
徐晃 袁绍 36 较少相关
徐晃 刘备 12 较少相关
徐晃 赵云 106 相关
徐晃 孔明 27 较少相关
徐晃 鲁肃 3 较少相关
徐晃 周瑜 9 较少相关
徐晃 黄盖 12 较少相关
徐晃 吕蒙 17 较少相关
徐晃 孙权 12 较少相关
徐晃 陆逊 8 较少相关
徐晃 诸葛亮 13 较少相关
徐晃 董卓 4 较少相关
徐晃 马腾 16 较少相关
徐晃 马超 67 一般相关
徐晃 黄忠 50 一般相关
徐晃 廖化 16 较少相关
徐晃 司马懿 26 较少相关
张昭 周瑜 31 较少相关
张昭 孙权 116 相关
张昭 曹操 101 相关
张昭 袁术 4 较少相关
张昭 刘备 42 较少相关
张昭 袁绍 11 较少相关
张昭 吕蒙 12 较少相关
张昭 刘表 18 较少相关
张昭 鲁肃 27 较少相关
张昭 孔明 48 较少相关
张昭 诸葛亮 16 较少相关
张昭 赵云 6 较少相关
张昭 夏侯惇 5 较少相关
张昭 吕布 4 较少相关
张昭 黄盖 3 较少相关
张昭 马腾 3 较少相关
张昭 张辽 9 较少相关
张昭 陆逊 15 较少相关
张昭 马超 3 较少相关
张昭 刘璋 5 较少相关
张昭 庞统 2 较少相关
张昭 魏延 1 较少相关
张昭 司马懿 2 较少相关
周瑜 黄盖 105 相关
周瑜 孙权 111 相关
周瑜 张昭 31 较少相关
周瑜 曹操 237 相关
周瑜 袁术 4 较少相关
周瑜 刘备 122 相关
周瑜 鲁肃 186 相关
周瑜 刘表 12 较少相关
周瑜 袁绍 6 较少相关
周瑜 吕蒙 31 较少相关
周瑜 孔明 279 很相关
周瑜 诸葛亮 61 一般相关
周瑜 马腾 15 较少相关
周瑜 吕布 7 较少相关
周瑜 董卓 2 较少相关
周瑜 陆逊 7 较少相关
周瑜 张飞 19 较少相关
周瑜 张辽 13 较少相关
周瑜 徐晃 9 较少相关
周瑜 庞统 16 较少相关
周瑜 徐庶 12 较少相关
周瑜 赵云 62 一般相关
周瑜 许褚 4 较少相关
周瑜 夏侯惇 5 较少相关
周瑜 黄忠 10 较少相关
周瑜 魏延 10 较少相关
周瑜 刘璋 12 较少相关
周瑜 马超 2 较少相关
孙权 周瑜 111 相关
孙权 张昭 116 相关
孙权 曹操 412 密切相关
孙权 袁术 8 较少相关
孙权 刘备 169 相关
孙权 鲁肃 111 相关
孙权 刘表 39 较少相关
孙权 袁绍 31 较少相关
孙权 郭嘉 1 较少相关
孙权 赵云 28 较少相关
孙权 张飞 24 较少相关
孙权 孔明 215 相关
孙权 刘璋 28 较少相关
孙权 吕蒙 168 相关
孙权 陆逊 48 较少相关
孙权 夏侯惇 5 较少相关
孙权 诸葛亮 34 较少相关
孙权 张辽 256 很相关
孙权 许褚 13 较少相关
孙权 黄盖 22 较少相关
孙权 吕布 8 较少相关
孙权 马腾 15 较少相关
孙权 徐晃 12 较少相关
孙权 庞统 17 较少相关
孙权 马超 13 较少相关
孙权 法正 22 较少相关
孙权 黄忠 10 较少相关
孙权 魏延 10 较少相关
孙权 廖化 3 较少相关
孙权 司马懿 16 较少相关
孙权 李严 3 较少相关
孙权 关羽 1 较少相关
孙权 姜维 1 较少相关
刘璋 许褚 2 较少相关
刘璋 袁术 1 较少相关
刘璋 袁绍 4 较少相关
刘璋 刘表 5 较少相关
刘璋 孔明 37 较少相关
刘璋 曹操 62 一般相关
刘璋 孙权 28 较少相关
刘璋 刘备 80 一般相关
刘璋 周瑜 12 较少相关
刘璋 赵云 19 较少相关
刘璋 张飞 63 一般相关
刘璋 黄忠 25 较少相关
刘璋 魏延 49 较少相关
刘璋 诸葛亮 9 较少相关
刘璋 鲁肃 5 较少相关
刘璋 吕布 3 较少相关
刘璋 马超 122 相关
刘璋 关羽 1 较少相关
刘璋 法正 69 一般相关
刘璋 庞统 60 一般相关
刘璋 张昭 5 较少相关
刘璋 李严 31 较少相关
刘璋 廖化 3 较少相关
刘璋 马谡 3 较少相关
刘璋 司马懿 1 较少相关
廖化 曹操 24 较少相关
廖化 袁绍 7 较少相关
廖化 法正 3 较少相关
廖化 庞统 3 较少相关
廖化 孙权 3 较少相关
廖化 孔明 65 一般相关
廖化 黄忠 3 较少相关
廖化 魏延 21 较少相关
廖化 张飞 3 较少相关
廖化 赵云 3 较少相关
廖化 刘璋 3 较少相关
廖化 李严 1 较少相关
廖化 诸葛亮 16 较少相关
廖化 马超 1 较少相关
廖化 马谡 2 较少相关
廖化 徐晃 16 较少相关
廖化 吕蒙 4 较少相关
廖化 陆逊 2 较少相关
廖化 姜维 86 一般相关
廖化 司马懿 26 较少相关
鲁肃 周瑜 186 相关
鲁肃 孙权 111 相关
鲁肃 曹操 180 相关
鲁肃 刘表 12 较少相关
鲁肃 刘备 44 较少相关
鲁肃 孔明 263 很相关
鲁肃 诸葛亮 24 较少相关
鲁肃 张昭 27 较少相关
鲁肃 赵云 6 较少相关
鲁肃 夏侯惇 2 较少相关
鲁肃 黄盖 26 较少相关
鲁肃 袁绍 9 较少相关
鲁肃 吕布 5 较少相关
鲁肃 袁术 3 较少相关
鲁肃 马腾 8 较少相关
鲁肃 张飞 5 较少相关
鲁肃 张辽 6 较少相关
鲁肃 徐晃 3 较少相关
鲁肃 庞统 9 较少相关
鲁肃 徐庶 6 较少相关
鲁肃 吕蒙 33 较少相关
鲁肃 陆逊 2 较少相关
鲁肃 刘璋 5 较少相关
鲁肃 马超 6 较少相关
鲁肃 司马懿 1 较少相关
庞统 赵云 18 较少相关
庞统 刘表 7 较少相关
庞统 徐庶 16 较少相关
庞统 孔明 34 较少相关
庞统 曹操 41 较少相关
庞统 周瑜 16 较少相关
庞统 黄盖 4 较少相关
庞统 鲁肃 9 较少相关
庞统 刘备 16 较少相关
庞统 马腾 7 较少相关
庞统 诸葛亮 5 较少相关
庞统 吕布 1 较少相关
庞统 袁术 1 较少相关
庞统 袁绍 1 较少相关
庞统 张飞 13 较少相关
庞统 孙权 17 较少相关
庞统 马超 2 较少相关
庞统 法正 37 较少相关
庞统 黄忠 62 一般相关
庞统 魏延 76 一般相关
庞统 廖化 3 较少相关
庞统 刘璋 60 一般相关
庞统 张昭 2 较少相关
徐庶 曹操 116 相关
徐庶 刘备 68 一般相关
徐庶 孔明 27 较少相关
徐庶 庞统 16 较少相关
徐庶 刘表 2 较少相关
徐庶 司马懿 1 较少相关
徐庶 夏侯惇 3 较少相关
徐庶 诸葛亮 10 较少相关
徐庶 张飞 4 较少相关
徐庶 许褚 4 较少相关
徐庶 马腾 18 较少相关
徐庶 周瑜 12 较少相关
徐庶 鲁肃 6 较少相关
徐庶 吕布 6 较少相关
徐庶 袁术 6 较少相关
徐庶 袁绍 6 较少相关
孔明 徐庶 27 较少相关
孔明 庞统 34 较少相关
孔明 曹操 496 密切相关
孔明 诸葛亮 295 很相关
孔明 刘备 125 相关
孔明 张飞 262 很相关
孔明 袁绍 36 较少相关
孔明 孙权 215 相关
孔明 刘璋 37 较少相关
孔明 刘表 51 一般相关
孔明 司马懿 449 密切相关
孔明 夏侯惇 45 较少相关
孔明 赵云 297 很相关
孔明 许褚 20 较少相关
孔明 鲁肃 263 很相关
孔明 张昭 48 较少相关
孔明 袁术 14 较少相关
孔明 黄盖 61 一般相关
孔明 吕布 18 较少相关
孔明 周瑜 279 很相关
孔明 马腾 10 较少相关
孔明 董卓 7 较少相关
孔明 吕蒙 17 较少相关
孔明 陆逊 37 较少相关
孔明 张辽 16 较少相关
孔明 徐晃 27 较少相关
孔明 黄忠 120 相关
孔明 魏延 470 密切相关
孔明 马超 101 相关
孔明 法正 20 较少相关
孔明 廖化 65 一般相关
孔明 李严 86 一般相关
孔明 马谡 149 相关
孔明 姜维 223 相关
孔明 关羽 6 较少相关
诸葛亮 孔明 295 很相关
诸葛亮 曹操 98 一般相关
诸葛亮 张飞 32 较少相关
诸葛亮 刘表 14 较少相关
诸葛亮 司马懿 77 一般相关
诸葛亮 夏侯惇 40 较少相关
诸葛亮 刘备 55 一般相关
诸葛亮 徐庶 10 较少相关
诸葛亮 赵云 62 一般相关
诸葛亮 孙权 34 较少相关
诸葛亮 张辽 16 较少相关
诸葛亮 许褚 9 较少相关
诸葛亮 鲁肃 24 较少相关
诸葛亮 张昭 16 较少相关
诸葛亮 吕布 3 较少相关
诸葛亮 袁绍 6 较少相关
诸葛亮 袁术 3 较少相关
诸葛亮 周瑜 61 一般相关
诸葛亮 吕蒙 4 较少相关
诸葛亮 马腾 7 较少相关
诸葛亮 庞统 5 较少相关
诸葛亮 黄盖 8 较少相关
诸葛亮 徐晃 13 较少相关
诸葛亮 陆逊 21 较少相关
诸葛亮 黄忠 15 较少相关
诸葛亮 魏延 53 一般相关
诸葛亮 刘璋 9 较少相关
诸葛亮 马超 6 较少相关
诸葛亮 法正 7 较少相关
诸葛亮 李严 3 较少相关
诸葛亮 廖化 16 较少相关
诸葛亮 马谡 16 较少相关
诸葛亮 关羽 2 较少相关
诸葛亮 董卓 1 较少相关
诸葛亮 姜维 50 一般相关
吕蒙 孙权 168 相关
吕蒙 陆逊 38 较少相关
吕蒙 张昭 12 较少相关
吕蒙 周瑜 31 较少相关
吕蒙 刘表 4 较少相关
吕蒙 曹操 107 相关
吕蒙 诸葛亮 4 较少相关
吕蒙 董卓 1 较少相关
吕蒙 黄盖 19 较少相关
吕蒙 孔明 17 较少相关
吕蒙 刘备 21 较少相关
吕蒙 鲁肃 33 较少相关
吕蒙 张辽 73 一般相关
吕蒙 徐晃 17 较少相关
吕蒙 袁绍 3 较少相关
吕蒙 赵云 4 较少相关
吕蒙 张飞 2 较少相关
吕蒙 廖化 4 较少相关
吕蒙 司马懿 1 较少相关
吕蒙 法正 3 较少相关
陆逊 孙权 48 较少相关
陆逊 吕蒙 38 较少相关
陆逊 曹操 26 较少相关
陆逊 董卓 1 较少相关
陆逊 黄盖 10 较少相关
陆逊 孔明 37 较少相关
陆逊 刘备 37 较少相关
陆逊 周瑜 7 较少相关
陆逊 鲁肃 2 较少相关
陆逊 张辽 10 较少相关
陆逊 徐晃 8 较少相关
陆逊 袁绍 2 较少相关
陆逊 诸葛亮 21 较少相关
陆逊 赵云 9 较少相关
陆逊 张昭 15 较少相关
陆逊 廖化 2 较少相关
陆逊 李严 1 较少相关
陆逊 马超 1 较少相关
陆逊 司马懿 21 较少相关
陆逊 魏延 5 较少相关
陆逊 姜维 5 较少相关
司马懿 刘表 2 较少相关
司马懿 曹操 17 较少相关
司马懿 夏侯惇 5 较少相关
司马懿 刘备 14 较少相关
司马懿 诸葛亮 77 一般相关
司马懿 徐庶 1 较少相关
司马懿 孔明 449 密切相关
司马懿 刘璋 1 较少相关
司马懿 孙权 16 较少相关
司马懿 鲁肃 1 较少相关
司马懿 张飞 2 较少相关
司马懿 吕蒙 1 较少相关
司马懿 法正 3 较少相关
司马懿 张辽 1 较少相关
司马懿 马谡 65 一般相关
司马懿 徐晃 26 较少相关
司马懿 赵云 16 较少相关
司马懿 姜维 62 一般相关
司马懿 魏延 91 一般相关
司马懿 陆逊 21 较少相关
司马懿 廖化 26 较少相关
司马懿 张昭 2 较少相关
司马懿 李严 6 较少相关
魏延 张飞 343 很相关
魏延 黄忠 204 相关
魏延 孔明 470 密切相关
魏延 刘表 2 较少相关
魏延 赵云 119 相关
魏延 诸葛亮 53 一般相关
魏延 周瑜 10 较少相关
魏延 黄盖 4 较少相关
魏延 刘璋 49 较少相关
魏延 曹操 46 较少相关
魏延 法正 30 较少相关
魏延 刘备 7 较少相关
魏延 孙权 10 较少相关
魏延 庞统 76 一般相关
魏延 廖化 21 较少相关
魏延 马超 108 相关
魏延 李严 2 较少相关
魏延 马谡 31 较少相关
魏延 夏侯惇 11 较少相关
魏延 关羽 3 较少相关
魏延 董卓 1 较少相关
魏延 张昭 1 较少相关
魏延 姜维 85 一般相关
魏延 司马懿 91 一般相关
魏延 陆逊 5 较少相关
黄忠 孔明 120 相关
黄忠 刘表 6 较少相关
黄忠 魏延 204 相关
黄忠 赵云 137 相关
黄忠 诸葛亮 15 较少相关
黄忠 周瑜 10 较少相关
黄忠 黄盖 4 较少相关
黄忠 刘璋 25 较少相关
黄忠 张飞 120 相关
黄忠 曹操 90 一般相关
黄忠 法正 95 一般相关
黄忠 刘备 18 较少相关
黄忠 孙权 10 较少相关
黄忠 庞统 62 一般相关
黄忠 廖化 3 较少相关
黄忠 李严 37 较少相关
黄忠 马超 10 较少相关
黄忠 马谡 1 较少相关
黄忠 夏侯惇 10 较少相关
黄忠 徐晃 50 一般相关
黄忠 许褚 5 较少相关
黄忠 关羽 1 较少相关
黄忠 董卓 1 较少相关
法正 孙权 22 较少相关
法正 曹操 46 较少相关
法正 刘璋 69 一般相关
法正 刘备 30 较少相关
法正 诸葛亮 7 较少相关
法正 赵云 12 较少相关
